strain,host,plasmid,medium,replicate,plate,well,OD_abs,OD_culture,OD_norm,OD_norm.rel
cESBL1_pESBL25,cESBL1,pESBL25,LB,1,2,B6,0.086900003,0.599799991,0.144881635,1.182293353
cESBL1_pESBL25,cESBL1,pESBL25,LB,3,2,H5,0.090999998,0.584800005,0.155608751,1.269831004
cESBL1_pESBL25,cESBL1,pESBL25,LB,1,3,A8,0.082999997,0.586799979,0.141445126,1.154250035
cESBL1_pESBL25,cESBL1,pESBL25,LB,2,3,B7,0.081,0.570299983,0.142030515,1.159027049
cESBL1_pESBL25,cESBL1,pESBL25,LB,3,3,B9,0.082500003,0.627799988,0.131411285,1.072369792
cESBL1_pKPC1,cESBL1,pKPC1,LB,2,1,F4,0.0704,0.586799979,0.119972737,0.979026566
cESBL1_pKPC1,cESBL1,pKPC1,LB,3,1,G1,0.0735,0.627499998,0.117131474,0.955840698
cESBL1_pKPC1,cESBL1,pKPC1,LB,1,1,H1,0.080499999,0.628300011,0.128123504,1.045540155
cESBL1_pKPC1,cESBL1,pKPC1,LB,1,2,C1,0.078199998,0.628300011,0.12446283,1.015667559
cESBL1_pKPC1,cESBL1,pKPC1,LB,3,2,H2,0.084299996,0.626699984,0.134514119,1.097690186
cESBL1_pKPC1,cESBL1,pKPC1,LB,2,2,H6,0.081200004,0.647700012,0.125366685,1.023043386
cESBL1_pKPC1,cESBL1,pKPC1,LB,2,3,A3,0.076800004,0.64139998,0.119738082,0.977111685
cESBL1_pKPC1,cESBL1,pKPC1,LB,3,3,G10,0.071800001,0.603200018,0.119031828,0.971348364
cESBL1_pKPC1,cESBL1,pKPC1,LB,1,3,H3,0.080399998,0.624199986,0.128804869,1.051100372
cESBL1_pOXA48,cESBL1,pOXA48,LB,2,1,A5,0.069399998,0.593699992,0.116894052,0.888996322
cESBL1_pOXA48,cESBL1,pOXA48,LB,1,1,A8,0.075199999,0.593800008,0.126641963,0.963130608
cESBL1_pOXA48,cESBL1,pOXA48,LB,3,1,G6,0.072300002,0.624199986,0.115828266,0.880890864
cESBL1_pOXA48,cESBL1,pOXA48,LB,1,2,A7,0.095799997,0.632499993,0.151462448,1.151894018
cESBL1_pOXA48,cESBL1,pOXA48,LB,3,2,B10,0.085000001,0.629899979,0.13494206,1.026254056
cESBL1_pOXA48,cESBL1,pOXA48,LB,2,2,E7,0.090099998,0.634000003,0.14211356,1.08079436
cESBL1_pOXA48,cESBL1,pOXA48,LB,1,3,B10,0.0823,0.595799983,0.138133606,1.050526229
cESBL1_pOXA48,cESBL1,pOXA48,LB,3,3,D8,0.077399999,0.666700006,0.116094193,0.882913278
cESBL1_pOXA48,cESBL1,pOXA48,LB,2,3,D9,0.072999999,0.64349997,0.113442117,0.862743853
